,mean,ci,context,l_ctxt
0,3.6712286472320557,0.06494937837123871,none,0
1,3.6712286472320557,0.06494937837123871,user,0
2,3.6712286472320557,0.06494937837123871,peer,0
3,3.6712286472320557,0.06494937837123871,random,0
4,3.6712286472320557,0.06494937837123871,none,150
5,3.4331300258636475,0.06391646713018417,user,150
6,3.674900770187378,0.06328921020030975,peer,150
7,3.6241109371185303,0.062215618789196014,random,150
8,3.6712286472320557,0.06494937837123871,none,300
9,3.2719929218292236,0.06376423686742783,user,300
10,3.5980215072631836,0.06146574765443802,peer,300
11,3.6441290378570557,0.062184762209653854,random,300
12,3.6712286472320557,0.06494937837123871,none,450
13,3.1953752040863037,0.06425431370735168,user,450
14,3.553182601928711,0.061377692967653275,peer,450
15,3.683137893676758,0.06195620074868202,random,450
16,3.6712286472320557,0.06494937837123871,none,600
17,3.172708034515381,0.06411854177713394,user,600
18,3.5666210651397705,0.06112617626786232,peer,600
19,3.6370232105255127,0.06121864914894104,random,600
20,3.6712286472320557,0.06494937837123871,none,750
21,3.1517059803009033,0.0641544833779335,user,750
22,3.56180739402771,0.06110734865069389,peer,750
23,3.640695333480835,0.06091487780213356,random,750
24,3.6712286472320557,0.06494937837123871,none,900
25,3.1429033279418945,0.06363637745380402,user,900
26,3.528148889541626,0.061048854142427444,peer,900
27,3.632920026779175,0.061143532395362854,random,900
