,mean,ci,context,stride
0,3.036618709564209,0.2275220900774002,none,1
1,2.5656135082244873,0.21317273378372192,user,1
2,3.002260208129883,0.2126561850309372,peer,1
3,3.045926809310913,0.21633142232894897,random,1
4,2.9362173080444336,0.2140575349330902,none,3
5,2.449526786804199,0.19724459946155548,user,3
6,2.866610050201416,0.19755645096302032,peer,3
7,2.9059512615203857,0.20098203420639038,random,3
8,2.9663569927215576,0.20818747580051422,none,5
9,2.4518134593963623,0.19072246551513672,user,5
10,2.8445582389831543,0.19096694886684418,peer,5
11,2.886911630630493,0.1942511945962906,random,5
12,3.1915459632873535,0.2049262970685959,none,9
13,2.772677183151245,0.1952764391899109,user,9
14,3.1436572074890137,0.1920563131570816,peer,9
15,3.1728243827819824,0.19360233843326569,random,9
16,2.9720911979675293,0.19739846885204315,none,15
17,2.543531894683838,0.18660418689250946,user,15
18,2.938577890396118,0.18846075236797333,peer,15
19,2.957504987716675,0.1888173520565033,random,15
20,3.093085765838623,0.16862472891807556,none,27
21,2.7457094192504883,0.16399569809436798,user,27
22,3.0417628288269043,0.1613462269306183,peer,27
23,3.0707342624664307,0.1624993234872818,random,27
24,3.135721206665039,0.14812415838241577,none,46
25,2.8722543716430664,0.14654327929019928,user,46
26,3.118987798690796,0.14283791184425354,peer,46
27,3.1494059562683105,0.14376498758792877,random,46
28,3.183319330215454,0.11625294387340546,none,81
29,2.956362247467041,0.11472896486520767,user,81
30,3.172245740890503,0.11254831403493881,peer,81
31,3.202242612838745,0.1127825602889061,random,81
32,3.2868244647979736,0.08705876767635345,none,141
33,3.121090888977051,0.08713335543870926,user,141
34,3.278897285461426,0.0851198136806488,peer,141
35,3.306501865386963,0.08497535437345505,random,141
36,3.3362090587615967,0.055511195212602615,none,244
37,3.1033666133880615,0.05540458858013153,user,244
38,3.319660186767578,0.054191216826438904,peer,244
39,3.3562400341033936,0.054112035781145096,random,244
